No,Name,PTI-IND,PML-N,Total Votes,Filename
1,Govt. Girls Elementary School Aki (Combined),293,349,,
2,Govt. Primary School Aki (Combined),326,277,,
3,Govt. Iqbal Boys High School Chak No. 14 (Combined),433,239,,
4,Govt. Primary School Chak No. 15 Shumali (Combined),208,160,,
5,Govt. Boys Primary School Dera Murad Abad (Dakhali Pandowal Bala) Male,248,280,,
6,Govt. Boys Primary School Dera Murad Abad (Dakhali Pandowal Bala) Female,183,139,,
7,Govt. Girls High School Pandowal Bala (Combined),221,314,,
8,Govt. Islamia High School Pandowal Bala (Combined),284,413,,
9,Govt. Model Primary School Kotli Masnani Male,207,271,,
10,Govt. Model Primary School Kotli Masnani Female,221,96,,
11,Govt. Insaf Afternoon Girls Elementry School Pandowal Pain (Combined),269,309,,
12,Govt. Model Primary School Aidal (Combined),513,262,,
13,Govt. Boys Primary School Bhachar (Combined),617,209,,
14,Govt Boys High School Khuthiala Sheikhan East (Male),366,283,,
15,Govt Boys High School Khuthiala Sheikhan West (Female),251,115,,
16,Govt Boys High School Khuthiala Sheikhan South (Combined),260,161,,
17,"Govt. Boys High School (Primary Portion) , Kuthiala Sheikhan East (Combined)",327,422,,
18,"Govt. Boys High School (Primary Portion) , Kuthiala Sheikhan West (Combined)",405,188,,
19,"Govt. Girls High School, Kuthiala Sheikhan (East) (Combined)",231,190,,
20,"Govt. Girls High School, Kuthiala Sheikhan (West) (Combined)",342,225,,
21,"Govt. Girls High School, Kuthiala Sheikhan Norh (Combined)",181,184,,
22,Govt. Model High School Chak No. 40 (Combined),396,337,,
23,Govt. Insaf Afternoon Elementry School Ainowal (Combined),238,151,,
24,Govt. Boys High School Dera Mian Sahib Kadhar (East) (Male),369,369,,
25,Govt. Boys High School Dera Mian Sahib Kadhar (West) (Female),217,138,,
26,Govt. Girls High School Kadhar (East) (Combined),213,202,,
27,Govt. Girls High School Kadhar (West) (Combined),336,285,,
28,Govt. Boys High School Kadhar (East) (Combined),210,259,,
29,Govt. Boys High School Kadhar (West) (Combined),277,171,,
30,Govt. Benazir Shaheed Girls Elementary School Dera Sundrana Khumb Khurd (Combined),319,249,,
31,Govt. Boys Primary School Khumb Khurd (Male),265,307,,
32,Govt. Boys Primary School Khumb Khurd (Female),205,143,,
33,"Govt. Model Primary School, Kakka (Combined)",491,449,,
34,Govt. Boys Primary School Dera Gul Muhammad. (Mianwal Ranjha (Combined),349,339,,
35,Govt. Girls Primary School Ahmad Abad Thalian (Dakhali Mianwal Ranjha) (Combined),314,325,,
36,Govt. Girls Higher Secondary School Mianwal Ranjha (Male),353,398,,
37,Govt. Girls Higher Secondary School Mianwal Ranjha (Female),254,191,,
38,Govt. Aslam Insaf Afternoon Girls Elementry School Mianwal Ranjha. (Mohallah Murad Ka) (Combined),318,453,,
39,"Govt. Public Islamia High School, Mianwal Ranjha. (combined)",348,333,,
40,"Govt. Public Islamia High School, Mianwal Ranjha. (East) (Male)",344,392,,
41,"Govt. Public Islamia High School, Mianwal Ranjha. (West) (Female)",220,184,,
42,Govt.Girls Primary School Makewal (Combined),522,208,,
43,Govt. Boys High School Makewal (Male),460,264,,
44,Govt. Boys High School Makewal (Female),355,95,,
45,Govt. Girls High School Rattowal (Combined),369,327,,
46,"Govt. Boys Primary School, Rattowal (Combined)",446,306,,
47,Govt. Girls Elementary School Nain Ranjha Male,320,327,,
48,Govt. Girls Elementary School Nain Ranjha Female,222,109,,
49,"Govt. Boys Elementary School, Nain Ranjha Male",373,384,,
50,"Govt. Boys Elementary School, Nain Ranjha Female",190,119,,
51,Govt. Boys High School Ahla (East) (Male),237,229,,
52,Govt. Boys High School Ahla (West) (Female),215,167,,
53,Govt. Girls High School Ahla (East) (Combined),277,245,,
54,Govt. Girls High School Ahla (West) (Combined),220,265,,
55,Govt. Model Primary School Kot Jharana (Combined),131,536,,
56,Govt. Boys Primary School Bugga Pump (Combined),314,295,,
57,Govt. Primary School No. 1 Bhikhi (Male),367,241,,
58,Govt. Primary School No. 1 Bhikhi (Female),281,134,,
59,Govt. Boys Higher Secondary School Bhikhi (East) (Male),367,348,,
60,Govt. Boys Higher Secondary School Bhikhi (West) (Female),251,141,,
61,Govt. Boys Higher Secondary School Bhikhi (South) (Male),374,240,,
62,Govt. Girls Primary School Bhikhi  (Female),299,140,,
63,Govt. Girls Higher Secondary School Bhikhi (East) (Female),345,364,,
64,Govt. Girls Higher Secondary School Bhikhi (West) (Female),268,169,,
65,Govt. Boys Elementary School Jayya (Male),374,214,,
66,Govt. Girls Primary School Jayya (Female),286,181,,
67,Govt. Girls High School Chak No. 13 (Combined),248,414,,
68,Govt. Centre Primary School Chak No. 13 (Combined),357,213,,
69,Govt. Girls Elementary School Chimmon (Male),337,251,,
70,Govt. Girls Elementary School Chimmon (Female),282,156,,
71,Govt. Boys Primary School Bagga Pind (Male),315,254,,
72,Govt. Model Primary School Bagga Pind (Female),292,154,,
73,Govt Boys High School Chimmon (Combined),341,204,,
74,Govt Boys High School Chimmon (Combined),340,188,,
75,Basic Health Unit Sahna (East) (Male),319,251,,
76,Basic Health Unit Sahna (West) (Female),269,111,,
77,Govt. Boys Centre Primary School Sahna (South) (Combined),364,257,,
78,Govt. Girls High School Sahna (North) (Combined),322,287,,
79,Govt. Girls High School Sahna (North) (Combined),422,367,,
80,Govt. Model Primary School Chak No. 5 (Combined),356,306,,
81,Govt. Girls High School Sohawa Dilowana East (Male),488,174,,
82,Govt. Girls High School Sohawa Dilowana West (Female),424,83,,
83,Govt. Girls High School Sohawa Dilowana North (Combined),423,141,,
84,Govt. Boys Primary School Sohawa Dilowana (Combined),356,111,,
