No,Name,PTI-IND,PML-N,Total Votes,Filename
1,"1-Government Model Primary School Kot
Saadullah (Male)-I",246,368,,
2,"2-Government Model Primary School Kot
Saadullah (Female)-I",164,292,,
3,"3-Government Model Primary School Bahu
Chak (Combined)-I",470,428,,
4,"4-Government Girls High School Jalal Balagan
(Male)-I",394,434,,
5,"5-Government Girls High School Jalal Balagan
(Female)-I",310,268,,
6,"6-Government Boys High School Ballay Wala
(Male)-I",377,240,,
7,"7-Government Boys High School Ballay Wala
(Female)-I",260,254,,
8,"8-Government Girls Elementary School Ballay
wala (Combined)-I",215,269,,
9,"9-Government Girls Elementary School Sohian
(Combined)-I",412,294,,
10,"10-Government Girls Primary School Khakhikey
(Combined)-I",580,77,,
11,"11-Government Primary School Kotli Sahbu
(Combined)-I",559,142,,
12,"12-Government Boys Primary School Thatha
Dad (Male)-I",329,235,,
13,"13-Government Boys Primary School Thatha
Dad (Female)-I",305,205,,
14,"14-Government Boys High School Talwandi
Khajorwali (Male)-I",341,146,,
15,"15-Government Boys High School Talwandi
Khajorwali (Male)-II",251,164,,
16,"16-Government Boys High School Talwandi
Khajorwali (Female)-I",565,252,,
17,"17-Government Girls High School Talwandi
Khajorwali (Male)-I",506,390,,
18,"18-Government Girls High School Talwandi
Khajorwali (Female)-I",434,327,,
19,19-Government Boys High School Trigri (Male)-I,451,457,,
20,"20-Government Boys High School Trigri
(Female)-I",259,281,,
21,21-Government Girls High School Trigri (Male)-I,350,244,,
22,"22-Government Girls High School Trigri
(Female)-I",209,188,,
23,"23-Government Boys Primary School Lamban
Wali (Male)-I",266,270,,
24,"24-Government Girls Elementary School
Lamban Wali (Female)-I",211,212,,
25,"25-Government Girls Elementary School
Lamban Wali (Combined)-I",284,336,,
26,26-Allied School Rahwali Sharqi Campus Near Almadad Welfare Hospital Rahwali (Male)-I,230,255,,
27,27-Allied School Rahwali Sharqi Campus Near Almadad Welfare Hospital Rahwali (Female)-I,162,176,,
28,28-Allied School Rahwali Sharqi Campus Near Almadad Welfare Hospital Rahwali (Male)-II,166,253,,
29,29-Allied School Rahwali Sharqi Campus Near Almadad Welfare Hospital Rahwali (Female)-II,127,174,,
30,"30-Government Girls Primary School Rahwali
(Male)-I",228,285,,
31,"31-Government Girls Primary School Rahwali
(Female)-I",170,195,,
32,"32-Government Girls Primary School Rahwali
(Combined)-I",237,219,,
33,"33-Government Model Primary School Mohallah Salim Pura Rahwali Sharqi No. 1
Gujranwala (Male)-I",158,291,,
34,"34-Government Model Primary School Mohallah Salim Pura Rahwali Sharqi No. 1
Gujranwala (Female)-I",97,173,,
35,35-Cambrige School Little Scholors Mohallah Saleem Pura Talwandi Rahwali Sharki (Male)-I,477,275,,
36,"36-Cambrige School Little Scholors Mohallah Saleem Pura Talwandi Rahwali Sharki (Female)-
I",308,239,,
37,"37-Government Girls Elementary School Mohallah Dar-Ul-Islam Rahwali Sharqi No. 02
Gujranwala (Male)-I",355,360,,
38,"38-Government Girls Elementary School Mohallah Dar-Ul-Islam Rahwali Sharqi No. 02
Gujranwala (Female)-I",215,234,,
39,"39-Government Girls Primary School No. 01
Trigri Road Rahwali (Male)-I",221,320,,
40,"40-Government Girls Primary School No. 01
Trigri Road Rahwali (Female)-I",128,208,,
41,"41-Government Model Primary School for Boys
Kotli Peer Ahmad Shah (Combined)-I",294,359,,
42,"42-Government Model Primary School for Boys
Kotli Peer Ahmad Shah (Male)-I",228,255,,
43,"43-Government Model Primary School for Girls
Kotli Peer Ahmad Shah (Female)-I",143,171,,
44,"44-Bring Forth Higher Secondary School
Ghulam Muhammad Town (Male)-I",186,211,,
45,"45-Bring Forth Higher Secondary School
Ghulam Muhammad Town (Female)-I",130,130,,
46,"46-Oxford Grammar School System & Girls College Near Askari Petrol Pump Gondlawala
(Male)-I",377,414,,
47,"47-Union Council Office Gondlanwala (Female)-
I",213,230,,
48,"48-Government Boys High School Gondlawala
(Male)-II",439,140,,
49,"49-Government Boys High School Gondlawala
(Female)-I",160,181,,
50,"50-Government Boys High School Gondlawala
(Male)-I",482,374,,
51,"51-Government Boys High School Gondlawala
(Female)-II",219,203,,
52,"52-Government Boys High School Gondlawala
(Combined)-I",240,325,,
53,"53-Government Girls Elementary School
Gondlawala (Male)-I",297,243,,
54,"54-Government Girls Elementary School
Gondlawala (Female)-I",175,174,,
55,"55-Basic Health Unit Gondlawanla (Combined)-
I",350,315,,
56,"56-Bloom Star Public School, Near Bilal Masjid
Gondlanwala (Male)-I",303,251,,
57,"57-Government Boys High School Gondlawala
(Female)-III",193,90,,
58,"58-Federal Government Degree College,
Gujranwala Cantonment (Male)-III",296,210,,
59,"59-Federal Government Degree College,
Gujranwala Cantonment (Female)-III",300,148,,
60,"60-Federal Government Degree College,
Gujranwala Cantonment (Male)-II",341,215,,
61,"61-Federal Government Degree College,
Gujranwala Cantonment (Female)-III",384,154,,
62,"62-Civic Centre (Ladies) Bazar Area Gujranwala
Cantonment (Combined)-I",319,163,,
63,63-Government Associate College for Women Rahwali Gujranwala Cantt (Combined)-I,277,332,,
64,"64-Government Boys High School Baddoke
Gosayan (Male)-II",395,407,,
65,"65-Government Girls High School Baddoke
Gosayan (Female)-III",290,265,,
