No,Name,PTI-IND,PML-N,Total Votes,Filename
1,1 - Govt Boys Primary School Muhammad Pur (male)-I,385,493,,
2,2- GOVT BOYS H/S MUHAMMAD PUR,222,265,,
3,3 - Govt Girls PRIMERY School Ahmad Meilkhy (Combined)-I,505,614,,
4,4 - Office Of The Union Council Syed Imam Shah (Male)-I,388,468,,
5,5 - Govt Girls Primary School Weseeran (Female)-I,285,288,,
6,6 - Govt Boys Primary School Gul Pur Hethar (Combined)-I,184,344,,
7,7 - Govt Boys Primary School Khurram Pur (Combined)-I,211,229,,
8,8 - Govt Girls Elementary School Miani Tawangra Behli (Combined)-I,245,185,,
9,9 - Office Of The Union Council Behli (Male)-I,553,494,,
10,10 - Govt Girls Primary School Behil (Female)-I,365,293,,
11,11 - Govt Boys Elementary School Behli (Male)-I,294,253,,
12,12 - Basic Health Unit Behli (Female)-I,191,121,,
13,13 - Govt Boys Primary School Fazlo Kokara (Combined)-I,292,450,,
14,14 - Govt Boys Primary School Surpalan (Combined)-I,331,381,,
15,15 - Govt Girls High School Bhooran Chak No23 (Combined)-I,37,283,,
16,16 - Govt Girls Primary School Bhooran (Combined)-I,229,337,,
17,17-GOVT. BOYS PRIMARY SCHOOL JHOKE HAJI,124,637,,
18,18-GOVT PRIMARY SCHOOL MIANI TOONGRAH,253,307,,
19,19 - Govt Boys Primary School Kharlan Basti Hafiz Abad (Male)-I,294,376,,
20,20-GOVT BOYS PRIMARY SCHOOL KHARLAN BASTI,294,376,,
21,21 - Govt Girls Elementary School Durpur Babani (Combined)-I,187,581,,
22,22 - Govt Boys High School Khand Loorian (Male)-I,346,382,,
23,23 - Govt Boys High School Khand Loorian (Female)-I,240,224,,
24,24 - Govt Boys High School Bhindi Sharif (Combined)-I,223,612,,
25,25 - Govt Girls Primary School Zoor Kot (Combined)-I,288,378,,
26,26 - Govt Girls Primary School Zoor Kot (Combined)-II,470,582,,
27,27 - Govt Girls Elementary School Khandan Chak No24 (Male)-I,302,405,,
28,28 - Govt Girls Elementary School Khandan Chak No24 (Female)-I,202,224,,
29,29 - Govt Boys Elementary School Anaity-Iii (Combined)-I,337,383,,
30,30 - Govt Boys Primary School Tanvari (Combined)-I,349,431,,
31,31 - Govt Girls High School Anaity (Combined)-I,258,435,,
32,32 - Govt Boys Elementary School Anaity-Iii (Combined)-II,308,445,,
33,33 - Govt Boys Primary School Qadrat Abad Ramli (Combined)-I,154,226,,
34,34 - Govt Boys Primary School Loothran Awal Khan (Combined)-I,464,588,,
35,35 - Basic Health Center Jhandani (Male)-I,420,417,,
36,36 - Basic Health Center Jhandani (Female)-I,221,206,,
37,37 - Govt Boys Primary School Tufera (Combined)-I,305,372,,
38,38 - Govt Boys Primary School Bala Jelani (Male)-I,590,482,,
39,39 - Govt Boys Primary School Bala Jelani (Female)-I,416,262,,
40,40 - Govt Boys Primary School Goadri Sardar Pur (Combined)-I,341,538,,
41,41 - Govt Model School Farooq Abad Lal Bhatti (Male)-I,431,425,,
