No,Name,PTI-IND,JIP,MQM-P,Total Votes,Filename
1,"Al Hameed Public School, Zareena Colony, Sector:3, North Karachi.",144,74,66,,
2,"Al Hameed Public School, Zareena Colony, Sector:3, North Karachi.",99,28,26,,
3,"Global Educational Secondary School, A-76, Sector:1-A/2, North Karachi",180,70,74,,
4,"Global Educational Secondary School, A-76, Sector:1-A/2, North Karachi",102,31,28,,
5,"Global Educational Secondary School, A-76, Sector:1-A/2, North Karachi",120,62,88,,
6,"Zafar Grammar School,
Sec 2 New Karachi Town",78,40,90,,
7,Karachi Cambridge Secondary School R-151 Sector 2,323,92,72,,
8,"GBPS, sector:2, North Karachi",0,0,0,,
9,"GBPS, Sector:2, North Karachi",212,84,66,,
10,"GBPS, Sector:2, North Karachi",285,71,55,,
11,"GBPS, Sector:2, North Karachi",0,0,0,,
12,Gillani Grammer School L-501 Sector 3 N.K,120,65,32,,
13,Gillani Grammer School L-501 Sector 3 N.K,160,65,39,,
14,"Al Hameed Public School, Zareena Colony, Sector:3,
North Karachi.",312,129,59,,
15,"Al Hameed Public School, Zareena Colony, Sector:3,
North Karachi.",277,82,64,,
16,"Al Hameed Public School, Zareena Colony, Sector:3, North Karachi.
Male",171,59,41,,
17,"Global Educational Secondary School, A-76,
Sector:1-A/2, North Karachi",132,82,89,,
18,Saleem Public School Sector 1A/4,98,45,69,,
19,Talha Grammer School Sector 1A/4,65,32,77,,
20,Talha Grammer School Sector 1A/4,41,15,34,,
21,"GBPS, Sector:5-A/1, North Karachi",267,78,64,,
22,"GBPS, Sector:5-A/1, North
Karachi",160,53,27,,
23,"GBPS, Sector:5-A/1, North
Karachi",142,52,175,,
24,"GBPS, Sector:5-A/1, North Karachi",0,44,347,,
25,"GBPS, Sector:5-A/1, North Karachi",280,0,113,,
26,"GBPS, Sector:5-A/1, North Karachi",0,0,0,,
27,"D. North Public School, Sector:5-A/2, North Karachi",216,129,78,,
28,"D. North Public School, Sector:5-A/2, North Karachi",204,100,44,,
29,"D.North Public School, Sector:5-A/2, North Karachi",237,103,67,,
30,"Vocational Training Centre
for Women, Sec:5-A/2, New Karachi",296,145,95,,
31,"Vocational Training Centre for Women, Sec:5-A/2, New Karachi",347,123,104,,
32,"GBPS, Sector:5-A/4, North Karachi",267,85,145,,
33,"GBPS, Sector:5-A/4, North Karachi",281,115,117,,
