No,Name,PTI-IND,IPP,Total Votes,Filename
68,"GHOSHA ITFAAL GIRLS SCHOOL 73 ABU BAKAR BLOCK NEW GARDEN TOWN, LAHORE (MALE)-I",323,132,,
69,"GHOSHA ITFAAL GIRLS SCHOOL 73 ABU BAKAR BLOCK NEW GARDEN TOWN, LAHORE (FEMALE)-I",311,83,,
70,Government Boys High School (EXMCL) Jewan Hana Garden Town Lahore (Male)-I,546,247,,
71,Government Boys High School (EXMCL) Jewan Hana Garden Town Lahore (Female)-I,511,144,,
72,Government Boys High School (EXMCL) Jewan Hana Garden Town Lahore (Female)-II,307,62,,
73,Government Boys High School (EXMCL) Jewan Hana Garden Town Lahore (Male)-II,0,0,,
74,"Government MODEL GIRLS HIGH SCHOOL BARKAT MARKET GARDEN TOWN, LAHORE (Combined)-I",408,355,,
75,"Government MODEL GIRLS HIGH SCHOOL BARKAT MARKET GARDEN TOWN, LAHORE (Male)-I",500,397,,
76,"Government MODEL GIRLS HIGH SCHOOL BARKAT MARKET GARDEN TOWN, LAHORE (Female)-I",292,214,,
77,"Government MODEL GIRLS HIGH SCHOOL BARKAT MARKET GARDEN TOWN, LAHORE (Combined)-II",456,143,,
78,"Government SHUHADA-E-APS MEMORIAL MODEL HIGH SCHOOL MODEL TOWN, LAHORE (MALE)-I",381,104,,
79,"Government SHUHADA-E-APS MEMORIAL MODEL HIGH SCHOOL MODEL TOWN, LAHORE (FEMALE)-I",351,72,,
80,"Government SHUHADA-E-APS MEMORIAL MODEL HIGH SCHOOL MODEL TOWN, LAHORE (FEMALE)-II",367,69,,
81,"Government SHUHADA-E-APS MEMORIAL MODEL HIGH SCHOOL MODEL TOWN, LAHORE (MALE)-II",0,0,,
82,Government JUNIOR MODEL BOYS HIGH SCHOOL MODEL TOWN LAHORE NEAR PETROL PUMP (MALE)-I,0,0,,
83,Government JUNIOR MODEL BOYS HIGH SCHOOL MODEL TOWN LAHORE NEAR PETROL PUMP (FEMALE)-I,478,122,,
84,"Government Jr M/S opposite A-Block, Model Town, Lahore. (COMBINED)-I",0,0,,
85,D.P.S (NURSERY WINGS) SCHOOL MODEL TOWN LAHORE (Combined)-I,569,201,,
86,D.P.S (NURSERY WINGS) SCHOOL MODEL TOWN LAHORE (Male)-I,358,122,,
87,D.P.S (NURSERY WINGS) SCHOOL MODEL TOWN LAHORE (Female)-I,377,99,,
88,"Government SHUHADA-E-APS MEMORIAL GIRLS MODEL HIGH SCHOOL MODEL TOWN, LAHORE (MALE)-I",403,121,,
